"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","User Registration on LambdaTest eCommerce Playground","Registration fails with invalid lastname","0","2","0","0","0"
"","User Registration on LambdaTest eCommerce Playground","Registration fails with invalid email","0","5","0","0","0"
"","User Registration on LambdaTest eCommerce Playground","Registration fails with invalid password","0","4","0","0","0"
"","User Registration on LambdaTest eCommerce Playground","Registration fails with already registered email","0","1","0","0","0"
"","User Registration on LambdaTest eCommerce Playground","Registration fails with invalid telephone","0","4","0","0","0"
"","Login","LOgin with invalid credentials","0","5","0","0","0"
"","Login","Login with credentials","0","1","0","0","0"
"","User Registration on LambdaTest eCommerce Playground","Successful registration with valid details","0","2","0","0","0"
"","User Registration on LambdaTest eCommerce Playground","Registration fails without accepting Privacy Policy","0","1","0","0","0"
"","","","0","1","0","0","0"
"","User Registration on LambdaTest eCommerce Playground","Registration fails with invalid firstname","0","2","0","0","0"
