"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 24 15:30:30 GMT 2025","Sun Aug 24 15:30:30 GMT 2025","421","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid telephone","","Registration fails with invalid telephone",""
"broken","Sun Aug 24 15:30:27 GMT 2025","Sun Aug 24 15:30:27 GMT 2025","424","","User Registration on LambdaTest eCommerce Playground","","Successful registration with valid details","","Successful registration with valid details",""
"broken","Sun Aug 24 15:30:26 GMT 2025","Sun Aug 24 15:30:27 GMT 2025","435","","Login","","LOgin with invalid credentials","","LOgin with invalid credentials",""
"broken","Sun Aug 24 15:30:28 GMT 2025","Sun Aug 24 15:30:28 GMT 2025","428","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid lastname","","Registration fails with invalid lastname",""
"broken","Sun Aug 24 15:30:27 GMT 2025","Sun Aug 24 15:30:28 GMT 2025","419","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid firstname","","Registration fails with invalid firstname",""
"broken","Sun Aug 24 15:30:29 GMT 2025","Sun Aug 24 15:30:29 GMT 2025","441","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid email","","Registration fails with invalid email",""
"broken","Sun Aug 24 15:30:27 GMT 2025","Sun Aug 24 15:30:27 GMT 2025","429","","Login","","LOgin with invalid credentials","","LOgin with invalid credentials",""
"broken","Sun Aug 24 15:30:31 GMT 2025","Sun Aug 24 15:30:31 GMT 2025","416","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid password","","Registration fails with invalid password",""
"broken","Sun Aug 24 15:30:30 GMT 2025","Sun Aug 24 15:30:31 GMT 2025","424","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid password","","Registration fails with invalid password",""
"broken","Sun Aug 24 15:30:27 GMT 2025","Sun Aug 24 15:30:27 GMT 2025","425","","Login","","LOgin with invalid credentials","","LOgin with invalid credentials",""
"broken","Sun Aug 24 15:30:22 GMT 2025","Sun Aug 24 15:30:26 GMT 2025","4358","","Login","","LOgin with invalid credentials","","LOgin with invalid credentials",""
"broken","Sun Aug 24 15:30:26 GMT 2025","Sun Aug 24 15:30:27 GMT 2025","425","","Login","","LOgin with invalid credentials","","LOgin with invalid credentials",""
"broken","Sun Aug 24 15:30:31 GMT 2025","Sun Aug 24 15:30:31 GMT 2025","421","","User Registration on LambdaTest eCommerce Playground","","Registration fails without accepting Privacy Policy","","Registration fails without accepting Privacy Policy",""
"broken","Sun Aug 24 15:30:28 GMT 2025","Sun Aug 24 15:30:29 GMT 2025","417","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid email","","Registration fails with invalid email",""
"broken","Sun Aug 24 15:30:30 GMT 2025","Sun Aug 24 15:30:30 GMT 2025","409","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid password","","Registration fails with invalid password",""
"broken","Sun Aug 24 15:30:29 GMT 2025","Sun Aug 24 15:30:30 GMT 2025","417","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid email","","Registration fails with invalid email",""
"broken","Sun Aug 24 15:30:29 GMT 2025","Sun Aug 24 15:30:29 GMT 2025","435","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid email","","Registration fails with invalid email",""
"broken","Sun Aug 24 15:30:30 GMT 2025","Sun Aug 24 15:30:30 GMT 2025","419","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid telephone","","Registration fails with invalid telephone",""
"broken","Sun Aug 24 15:30:28 GMT 2025","Sun Aug 24 15:30:28 GMT 2025","431","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid lastname","","Registration fails with invalid lastname",""
"broken","Sun Aug 24 15:30:27 GMT 2025","Sun Aug 24 15:30:27 GMT 2025","427","","User Registration on LambdaTest eCommerce Playground","","Successful registration with valid details","","Successful registration with valid details",""
"broken","Sun Aug 24 15:30:30 GMT 2025","Sun Aug 24 15:30:31 GMT 2025","425","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid password","","Registration fails with invalid password",""
"broken","Sun Aug 24 15:30:29 GMT 2025","Sun Aug 24 15:30:30 GMT 2025","416","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid telephone","","Registration fails with invalid telephone",""
"broken","Sun Aug 24 15:30:28 GMT 2025","Sun Aug 24 15:30:29 GMT 2025","423","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid email","","Registration fails with invalid email",""
"broken","Sun Aug 24 15:30:32 GMT 2025","Sun Aug 24 15:30:32 GMT 2025","1","Regression_Suite","Regression Test","runners.RegressionTestRunner","runners.RegressionTestRunner","afterSuite","afterSuite",""
"broken","Sun Aug 24 15:30:31 GMT 2025","Sun Aug 24 15:30:32 GMT 2025","387","","User Registration on LambdaTest eCommerce Playground","","Registration fails with already registered email","","Registration fails with already registered email",""
"broken","Sun Aug 24 15:30:30 GMT 2025","Sun Aug 24 15:30:30 GMT 2025","410","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid telephone","","Registration fails with invalid telephone",""
"broken","Sun Aug 24 15:30:27 GMT 2025","Sun Aug 24 15:30:28 GMT 2025","424","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid firstname","","Registration fails with invalid firstname",""
"broken","Sun Aug 24 15:30:22 GMT 2025","Sun Aug 24 15:30:26 GMT 2025","4375","","Login","","Login with credentials","","Login with credentials",""
